CommonName,ReserveStatus,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,nobs,term,estimate,std.error,statistic,p.value
bat star,Inside,0.347381044920807,0.347278897643443,11.140326742814292,NA,-24470.069486245095,48944.13897249019,48957.66395158493,792918.8559153416,6389,6390,Mean_Density,5.435305647241906,0.09320394827972775,58.31625963880017,0
bat star,Outside,0.38311071663370877,0.38305312801502256,9.46454742538253,NA,-39278.62342823186,78561.24685646372,78575.80528293624,959555.8721458794,10712,10713,Mean_Density,4.054700269001732,0.049712423590274925,81.56311795257031,0
giant-spined sea star,Inside,0.23062311179584802,0.23044990673321775,52.16188837704012,NA,-23873.03031818029,47750.06063636058,47762.85880656645,12086071.66501916,4442,4443,Mean_Density,157.1952976186642,4.307927912756063,36.489769745960324,3.246166878366884e-255
giant-spined sea star,Outside,0.45845846409591073,0.45836927741344957,44.333319370245306,NA,-31643.92958485753,63291.85916971506,63305.28238570686,11934171.149164665,6072,6073,Mean_Density,297.8227771418227,4.1539179719387205,71.69683637320902,0
giant keyhole limpet,Inside,0.40589484203407095,0.40572328409067904,105.95552118389723,NA,-21067.402189653934,42138.80437930787,42151.104737847236,38877620.46136353,3463,3464,Mean_Density,1516.3408411664598,31.174211810606543,48.64087183274184,0
giant keyhole limpet,Outside,0.42016651375504654,0.42007144349988257,86.87524040884445,NA,-35888.310745741204,71780.62149148241,71794.05357958273,46031027.80878047,6099,6100,Mean_Density,615.3837547892792,9.256730896482777,66.47959864784475,0
Kellet's whelk,Inside,0.07280103409224,0.07206632809706748,92.54608158381768,NA,-7510.112731179324,15024.225462358649,15034.50795260335,10808748.847246522,1262,1263,Mean_Density,979.0792227111147,98.35713097603625,9.9543288117021,1.5926076818835736e-22
Kellet's whelk,Outside,0.42925631409810094,0.4291111236412447,95.76598099917561,NA,-23516.18660785611,47036.37321571222,47048.927022674754,36051684.97188318,3931,3932,Mean_Density,1360.549112134168,25.022166701874678,54.373753014451566,0
orange puffball sponge,Inside,0.5474985296602795,0.5474364581279969,101.66632253799929,NA,-44041.76709872421,88087.53419744842,88101.32298942804,75349739.89893965,7290,7291,Mean_Density,1723.5904607505367,18.35222970481736,93.91722360025297,0
orange puffball sponge,Outside,0.5392577140511833,0.5391798991067569,85.1824971714445,NA,-34724.53574776789,69453.07149553578,69466.44435455311,42963118.37805421,5921,5922,Mean_Density,935.7234039941391,11.240375370331861,83.24663306742511,0
purple sea urchin,Inside,0.09458390030745267,0.09455796904099334,23.23573247315488,NA,-159382.6794109666,318769.3588219332,318786.28028012445,18851122.686601467,34916,34917,Mean_Density,0.36426773908197385,0.00603148100869024,60.39441035412893,0
purple sea urchin,Outside,0.053919447388245556,0.05389714626497266,17.01380895696451,NA,-180427.23790479693,360858.47580959386,360875.7867486315,12280172.880491393,42423,42424,Mean_Density,0.0704963857032651,0.0014336974226493646,49.171034689448696,0
queen tegula,Inside,0.37709916254769454,0.3767947144355477,27.537759397157714,NA,-9691.014551223505,19386.02910244701,19397.277363618334,1551539.4820918203,2046,2047,Mean_Density,75.5382024261975,2.1463251003242436,35.19420353178836,1.407364570685941e-212
queen tegula,Outside,0.2928090202392231,0.2925889172265369,31.97797010752979,NA,-15696.630170218506,31397.260340437013,31409.410883529607,3285583.5084723947,3213,3214,Mean_Density,55.98121086591626,1.5348398120077384,36.47365049300272,4.960915548564397e-244
red abalone,Inside,0.6483147717599712,0.6481901932164926,591.7545940816648,NA,-22032.43417087174,44068.86834174348,44080.76016094071,988539789.4181018,2823,2824,Mean_Density,18004.19192812967,249.5757011693727,72.13920202877145,0
red abalone,Outside,0.49185597558528193,0.49127590249805053,627.0443126120397,NA,-6892.680903403488,13789.361806806975,13798.91482079172,344429683.3016963,876,877,Mean_Density,42291.896484703124,1452.3776022418924,29.119077861997653,6.402711703300455e-131
red sea urchin,Inside,0.19925986366458157,0.1992364905323729,219.9090064922372,NA,-233383.84077627878,466771.68155255757,466788.5650201013,1656764251.1620245,34259,34260,Mean_Density,19.47452469115476,0.21091885749497855,92.33183283110851,0
red sea urchin,Outside,0.06969513129724222,0.06967134441744927,123.4893058942043,NA,-243860.22597636655,487724.4519527331,487741.60027080576,596412195.0927877,39110,39111,Mean_Density,4.234296136028556,0.07822557188817213,54.12930879024728,0
red turban snail,Inside,0.35718330738384435,0.3555802732376695,23.496756809920747,NA,-1838.9713536466074,3681.942707293215,3689.935611470453,221391.12981440738,401,402,Mean_Density,306.8847019665647,20.558955623973553,14.927056976022174,2.2039713318203047e-40
red turban snail,Outside,0.1536902785031719,0.15220029659912826,20.8626146209463,NA,-2535.4741330869174,5074.948266173835,5083.636027042087,247221.25525096548,568,569,Mean_Density,8.663881792087176,0.8530604675880722,10.156234078673554,2.21555228724351e-22
rock scallop,Inside,0.15200450032782092,0.151882293165453,258.84045106293473,NA,-48407.043642983386,96818.08728596677,96831.77740007377,464901752.61975026,6939,6940,Mean_Density,934.4428437754628,26.495544524247777,35.26792374168019,8.941539065669397e-251
rock scallop,Outside,0.10217742136319062,0.10200969810919536,223.73854115682778,NA,-36564.196838431475,73132.39367686295,73145.56487531112,267965477.97896945,5353,5354,Mean_Density,615.3731446283188,24.93203397391197,24.68202735774483,1.764690701851291e-127
sunflower star,Inside,0.37171622514320196,0.37092890211706575,182.5216208109264,NA,-5293.519615203793,10591.039230407587,10600.40595229912,26584685.36663119,798,799,Mean_Density,6837.105234574346,314.6610459360407,21.728476793927914,1.3457547774881056e-82
sunflower star,Outside,0.1421278861122082,0.14161966803526038,221.70896395665173,NA,-11518.993446138576,23041.986892277153,23052.850676110767,82973411.61145943,1688,1689,Mean_Density,1696.1601667882583,101.42669303155019,16.72301557007921,3.30327895513413e-58
wavy turban snail,Inside,0.1263232905698438,0.12618929107453247,155.86000916677932,NA,-42176.6547364503,84357.3094729006,84370.87503893538,158386072.82269484,6520,6521,Mean_Density,55.2688598770829,1.800074053992634,30.70365897141533,1.766326308753191e-193
wavy turban snail,Outside,0.06869383383031473,0.06858438428675262,118.0492741137674,NA,-52676.745882926574,105357.49176585315,105371.58976029628,118578285.18976194,8509,8510,Mean_Density,12.532968737755018,0.5002672309098601,25.052547845200063,1.0514522492932089e-133
white sea urchin,Inside,0.10887384065543218,0.1086181373098527,2.5548515793422766,NA,-8215.767198098441,16435.534396196883,16447.84741664904,22747.524074750025,3485,3486,Mean_Density,2.414158471615904,0.11699632179578433,20.63448179020353,2.4009083605145688e-89
white sea urchin,Outside,0.17062930961667433,0.1705562823479957,4.096109116218023,NA,-32131.01007074702,64266.02014149404,64280.695496734916,190548.9940430396,11357,11358,Mean_Density,2.410777852754725,0.0498738511891901,48.33751144682504,0
