IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,Reference,Alloclinus_holderi,Centrostephanus_coronatus,Coryphopterus_nicholsi,Cypraea_spadicea,Eisenia_arborea,Laminaria_farlowii,Lithopoma_gibberosa,Lythrypnus_dalli,Megastraea_undosa,Parastichopus_parvimensis,Patiria_miniata,Pterygophora_californica,Strongylocentrotus_franciscanus,Strongylocentrotus_purpuratus,Styela_montereyensis,Tegula_regina,Macrocystis_pyrifera,Pisaster_giganteus,Sargassum_horneri,Pisaster_ochraceus,Aplysia_californica,Crassedoma_giganteum,Haliotis_corrugata,Haliotis_fulgens,Haliotis_rufescens,Kelletia_kelletii,Lophogorgia_chilensis,Lytechinus_anamesus,Megathura_crenulata,Muricea_californica,Muricea_fruticosa,Panulirus_interruptus,Pycnopodia_helianthoides,Stylaster_californicus,Tethya_aurantia,Urticina_lofotensis,Haliotis_assimilis,Cryptochiton_stelleri,Haliotis_sorenseni,Undaria_pinnatifida,Mean_ONI_ANOM
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Outside,TRUE,0,0,0,0.25,0,0.0208,0,0,0,0.1667,0.375,0.1458,0.625,0,5.875,0,0.3875,0.145,0,0,0,0.0063,0,0,0.0063,0.0021,0,0,7e-4,0,0,0,0.0653,0,0.0806,0.0118,0,0,0,0,0.04166666666666667
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Outside,TRUE,0,0,0.125,0.7917,0,0.0625,0,0,0,0.0833,0.375,0.25,1.8333,0.6667,3.5833,0,0.27,0.12,0,0,0,0.0146,0,0,0.0063,7e-4,0,0,0.0035,0,0,0,0.0569,0,0.0736,0.0222,0,0,0,0,0.11416666666666668
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2007,Outside,TRUE,0,0,0.1667,0.5,0,0.1667,0,0,0,0.25,0.7917,0.1458,0.9583,0.0833,6.2917,0,0.505,0.125,0,0,0,0.0083,0,0,0.0076,7e-4,7e-4,0,0.0021,0,0,0,0.041,0,0.0639,0.0063,0,0,0,0,-0.5908333333333333
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2008,Outside,TRUE,0,0,0.0833,0.0833,0,0.3125,0,0,0,0,1.0417,0.8542,0.125,0.0417,6.1667,0,0.425,0.15,0,0,0,0.0063,0,0,0.0076,0.0021,0,0,0.0021,0,0,0,0.0694,0,0.0743,0.0063,0,0,0,0,-0.7583333333333333
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2009,Outside,TRUE,0,0,0.0833,0.0833,0,0.4583,0,0,0.0417,0,1.7083,0.3333,0.25,0.3333,3,0,0.395,0.15,0,0,0.0021,0.0056,0,0,0.0146,0.0021,7e-4,0,0.0042,0,0,0,0.0347,0,0.0507,0.0069,0,0,0,0,0.3125
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2010,Outside,TRUE,0.0417,0,0.0417,0.2917,0.0208,0.375,0,0,0,0.0417,2.2083,0.2083,2.4583,1.1667,5.125,0,0.2575,0.135,0,0,0,0.0139,0,0,0.0097,7e-4,0,0,0.0063,0,0,0,0.0542,0,0.0819,0.0132,0,0,0,0,-0.4616666666666666
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2011,Outside,TRUE,0,0,0.0417,0.2083,0.125,1.2708,0,0,0,0.0833,1.375,0.3542,0.5833,0.25,3.125,0,0.4175,0.17,0,0,0,0.0063,0,0,0.0125,0,0,0,0.009,0,0,0,0.0396,0,0.0674,0.0097,0,0,0,0,-0.8391666666666666
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2012,Outside,TRUE,0,0,0.5833,0.3333,0,0.5625,0,0,0,0,2.9583,0.3958,0.3333,0.3333,3.0417,0,0.465,0.145,0,0,0.0028,0.0083,0,0,0.009,7e-4,0,0,0.0049,0,0,0,0.0347,0,0.0576,0.0118,0,0,0,0,-0.11416666666666667
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2013,Outside,TRUE,0,0,0.375,0.3333,0,0.5833,0,0,0,0,1.9583,0.6042,0.25,0.125,1.2917,0,0.2775,0.095,0,0,0,0.0125,0,0,0.0167,0,0,0,0.0097,0,0,0,0.091,0,0.0806,0.0271,0,0,0,0,-0.29333333333333333
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2014,Outside,TRUE,0,0,0.0417,0.375,0,1.375,0,0,0.0417,0.0417,1.375,0.5625,1.8333,24.9583,1.25,0,0.455,0,0,0,0.0035,0.0549,0,0,0.0083,0,0,7e-4,0.0132,0,0,0,0,0,0.0778,0.0208,0,0,0,0,0.13999999999999999
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2015,Outside,TRUE,0,0.2917,0.5,0.8333,0,0.2292,0,0,0,0,0.0417,0.1458,4.375,64.7083,0.3333,0,0.1775,7e-4,0,0,0.0257,0.0424,0,0,0.034,0.0021,0,0.0472,0.0104,0,0,0,0,0,0.0632,0.0215,0,0,0,0,1.485
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Outside,TRUE,0,0,0.25,0.2083,0,0,0,0,0.7917,0,0.125,0,2.7083,49.375,0,0,0,0.0042,0,0,0.0049,0.1701,0,0,0.009,0.0014,0,0.0118,0.0271,0,0,0.0014,0,0,0.0521,0.0139,0,0,0,0,0.35666666666666663
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2017,Outside,TRUE,0,0,0.2083,0.9167,0,0,0,0,1.625,0.0833,0.2917,0,3.0417,58.0417,0,0,0.02,0.0014,0,0,0.0063,0.1722,0,0,0,0.0021,0.0014,0.2611,0.0222,0,0,0,0,0,0.0319,0.0118,0,0,0,0,-0.17666666666666667
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2018,Outside,TRUE,0,0.0417,0.25,0.8333,0,0,0,0,1.5,0.0417,0.375,0,3.75,133.0833,0,0,0,0.0028,0,0,0.0181,0.184,0,0,0,7e-4,7e-4,0.4361,0.0153,0,0,0,0,0,0.0194,0.0174,0,0,0,0,0.039999999999999994
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2019,Outside,TRUE,0,0.125,0.5,0.5417,0,0.0208,0,0,1.5417,0.0833,0.4583,0,3.3333,79.875,0,0,0.12,0.0014,0,0,0.0542,0.1646,0,0,0,0.0035,0.0042,0.2306,0.0049,7e-4,0,7e-4,0,0,0.0132,0.0097,0,0,0,0,0.75
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2005,Outside,TRUE,0,0,0.375,0.2917,0.0417,0.2083,0.0417,0,0,0.0417,3.125,0.0208,0,0.125,1,0,0.1575,0.12,0,0,0,0.0021,0,0,0.0014,0.0104,0.0299,0,0.0028,0,0,0,0.0521,0,0.1653,0.0785,0,0,0,0,0.04166666666666667
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2006,Outside,TRUE,0,0,0.375,0.25,0.0417,0.5208,0.0417,0,0,0.0417,3.0833,0.2083,0.5833,0.5833,0.75,0,0.3225,0.02,0,0,7e-4,0.0083,0,0,7e-4,0.0069,0.0285,0,0.0014,7e-4,0,0,0.0965,0,0.134,0.0792,0,0,0,0,0.11416666666666668
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2007,Outside,TRUE,0,0,1.25,0.0833,0,0.0833,0,0,0.0417,0.125,3.75,0.2292,0.5833,0.25,0.625,0,0.27,0.015,0,0,7e-4,0.0063,0,0,0.0021,0.0174,0.0257,0,7e-4,0,0,0,0.084,0,0.209,0.091,0,0,0,0,-0.5908333333333333
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2008,Outside,TRUE,0,0,0.8333,0.2083,0,0.25,0.0417,0,0,0.0417,3.5833,0.0417,1.4167,3.2083,0.2917,0,0.205,0.075,0,0,0,0.0132,0,0,0.0056,0.0069,0.0257,0,0.0014,7e-4,0,0,0.1201,0,0.1771,0.0826,0,0,0,0,-0.7583333333333333
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2009,Outside,TRUE,0,0,1.7083,0.5,0,0.2917,0,0,0,0.0417,4.5,0.0625,0.3333,3.0417,1,0,0.26,0.05,0,0,0.0056,0.009,0,0,0.0021,0.0215,0.0215,0,0.0014,0,0,0,0.0361,0,0.1181,0.0479,0,0,0,0,0.3125
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2010,Outside,TRUE,0,0,1.0833,0.6667,0.0625,0.4167,0,0,0,0,4.6667,0,0.625,4.3333,3.6667,0,0.1425,0.105,0,0,0,0.0111,0,0,0.0035,0.0139,0.0278,0,0.0035,7e-4,0,0,0.0896,0,0.216,0.0778,0,0,0,0,-0.4616666666666666
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2011,Outside,TRUE,0,0,0.5,0.2917,0.0417,1.0208,0,0,0,0,5.7917,0.1042,0.9167,3.9583,2.8333,0,0.0925,0.14,0,0,0,0.0174,0,0,0.0035,7e-4,0.0236,0,0.0035,0,0,0,0.0458,0,0.1479,0.0924,0,0,0,0,-0.8391666666666666
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2012,Outside,TRUE,0,0,0.4583,0.625,0.1875,0.6875,0,0,0,0.0417,4.7917,0.0625,1.375,1.25,1.4167,0,0.1975,0.09,0,0,0.0069,0.0187,0,0,0.0021,0.009,0.009,0,0.0056,0.0014,0,0,0.0306,0,0.1715,0.0764,0,0,0,0,-0.11416666666666667
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2013,Outside,TRUE,0,0,1.1667,0.7917,0.125,0.5625,0,0,0,0.125,5.8333,0,3.4167,0.875,0.5,0,0.1325,0.315,0,0,0,0.0056,0,0,0.0014,0.0132,0.0097,0,0.0028,0,0,0,0.0201,0,0.1736,0.0715,0,7e-4,0,0,-0.29333333333333333
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2014,Outside,TRUE,0,0,1.7083,0.375,0.0833,0.3958,0,0,0,0.0417,4.375,0.0208,0.9583,6.7083,0.25,0,0.08,7e-4,0,0,0.0028,0.0125,0,0,0.0021,0.0104,0.0132,0,7e-4,7e-4,0,0,0,0,0.1694,0.0715,0,0,0,0,0.13999999999999999
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2015,Outside,TRUE,0,0,0.4583,0.375,0.4375,0.6458,0,0,0.0417,0.0417,1.4583,0.0208,5.5417,22.75,0.0417,0,0.14,7e-4,0,0,0.0507,0.0903,0,0,0.0028,0.0403,0.0097,0,0.0021,7e-4,0,0,0,0,0.1111,0.0597,0,0,0,0,1.485
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Outside,TRUE,0,0,0.9167,0.625,0,0,0,0,0.0417,0,1.2083,0,25.0417,28.375,0,0,0.02,0,0,0,0.0132,0.1451,0,0,0.0118,0.0431,0.0139,0.0028,0.0056,7e-4,7e-4,0,0,0,0.0549,0.0715,0,0,0,0,0.35666666666666663
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2017,Outside,TRUE,0,0,0.7083,0.375,0,0,0,0,0.0833,0,1.25,0,3.0417,31.4583,0,0,0,0.0021,0,0,0,0.2076,0,0,0,0.0542,0.0069,0.6778,0.0069,0,0,0,0,0,0.016,0.0542,0,0,0,0,-0.17666666666666667
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2018,Outside,TRUE,0,0.0833,0.5,0.4167,0,0,0.0417,0,0.1667,0.0833,1.7917,0,4.5833,86.9167,0,0,0,0.0014,0,0,0.0097,0.3139,0,0,0,0.05,0.0167,1.341,0.009,7e-4,0,0,0,0,0.0125,0.0806,0,0,0,0,0.039999999999999994
SR,Santa Rosa Island,JLSO,Johnson's Lee South,2019,Outside,TRUE,0.0417,0,0.5417,0.375,0.0417,0.0208,0.0417,0,0.125,0.0417,1.7083,0,1.3333,42.2083,0.0417,0,0.025,0.0035,0,0,0.0354,0.2118,0,0,7e-4,0.0653,0.0236,1.316,0.0125,0,0,0,0,0,0.0097,0.0681,0,0,0,0,0.75
SC,Santa Cruz Island,SA,Scorpion Anchorage,2005,Inside,TRUE,0.0833,0.0833,3.6667,0.375,0,0,0,0,0.125,0.1667,0.125,0,3.0417,38.625,0,0,0.01,0.055,0,0,0.0021,0.0472,0,0,0,0,7e-4,0,0.0375,0,0.0014,0.0021,0,0,0.0181,0,0,0,0,0,0.04166666666666667
SC,Santa Cruz Island,SA,Scorpion Anchorage,2006,Inside,TRUE,0.125,0,2,0.1667,0,0,0,0,0.3333,0.3333,0.125,0,2.875,40.6667,0,0,0,0.02,0,0,0.0028,0.0271,0,0,0,0,0.0014,0.0028,0.0431,0,0,0.0118,0.0014,0,0.0181,0,0,0,0,0,0.11416666666666668
SC,Santa Cruz Island,SA,Scorpion Anchorage,2007,Inside,TRUE,0.25,0,2.7083,0.5417,0,0.0208,0,0,0.5,0.3333,0.25,0,4,38.4583,0,0,0.12,0.055,0,0,0.0076,0.0076,0,0,0,0,7e-4,0,0.059,0,0,0.0035,0,0,0.0153,0,0,0,0,0,-0.5908333333333333
SC,Santa Cruz Island,SA,Scorpion Anchorage,2008,Inside,TRUE,0.0417,0,1.5833,0.0417,0,0.0417,0,0,0.25,0.5417,0.1667,0,4.5833,27.9583,0,0,0.115,0.06,0,0,0.0118,0.0243,0,0,0,0,7e-4,7e-4,0.0722,0,0,0.0111,0,0,0.0257,0,0,0,0,0,-0.7583333333333333
SC,Santa Cruz Island,SA,Scorpion Anchorage,2009,Inside,TRUE,0,0,1.375,0.125,0,0,0,0,0.125,0,0.375,0,3.7083,43.4167,0,0,0.16,0.075,0,0,0.0361,0.0083,7e-4,0,0,0,0.0021,0,0.0771,0,0,0.0076,0,0,0.0264,0,0,0,0,0,0.3125
SC,Santa Cruz Island,SA,Scorpion Anchorage,2010,Inside,TRUE,0,0,0.6667,0.0417,0,0,0,0,0.1667,0.9167,0.4167,0,3.875,35.4583,0,0,0.0025,0.105,0,0,0.016,0.0111,0,0,0,0,0.0014,0,0.1,0,0,0.0056,0,0,0.0278,0,0,0,0,0,-0.4616666666666666
SC,Santa Cruz Island,SA,Scorpion Anchorage,2011,Inside,TRUE,0,0,1.9583,0.125,0,0,0,0,0.0833,0.625,0.5417,0,6.7917,62,0,0,0,0.265,0,0,0.0063,0.0132,0,0,0,0,0.0014,0.0035,0.1549,0,0,0.009,0,0,0.0257,0,0,0,0,0,-0.8391666666666666
SC,Santa Cruz Island,SA,Scorpion Anchorage,2012,Inside,TRUE,0,0,2.4583,0,0,0,0,0,0.0417,0.6667,0.875,0,5.7083,82.2083,0,0,0,0.18,0,0.015,0.0167,0.0056,0,0,0,7e-4,7e-4,0.0014,0.0826,0,0,0.0139,0,0,0.0312,0,0,0,0,0,-0.11416666666666667
SC,Santa Cruz Island,SA,Scorpion Anchorage,2013,Inside,TRUE,0,0.0833,2.125,0.0417,0,0.0208,0,0,0.0833,0.7917,0.125,0,5.25,71.125,0,0,0,0.085,0,0.045,0.0076,0.0063,0,0,0,7e-4,7e-4,0,0.0486,0,0,0.0042,0,0,0.0118,0,0,0,0,0,-0.29333333333333333
SC,Santa Cruz Island,SA,Scorpion Anchorage,2014,Inside,TRUE,0.0417,0.0417,1.875,0,0,0.1458,0,0,0.125,0.8333,0.0417,0,2.9167,27.0833,0,0,0.3125,0,0.085,0,0.0125,0.0118,0,0,0,0.0014,7e-4,0,0.0056,0,0,0.009,0,0,0.0264,0,0,0,0,0,0.13999999999999999
SC,Santa Cruz Island,SA,Scorpion Anchorage,2015,Inside,TRUE,0,0.2917,0.2917,0.0417,0.0417,0.0417,0,0.5417,1.4167,0.0417,0,0,0.7083,11.4583,0,0,0.2725,0,6.81,7e-4,0.0028,0.0201,0,0,0,0.0042,7e-4,0,7e-4,0,0,0.0222,0,0,0.0049,0,0,0,0,0,1.485
SC,Santa Cruz Island,SA,Scorpion Anchorage,2016,Inside,TRUE,0,0.5,0.0417,0,0.25,0.0417,0,0.2917,2.2083,0.5,0,0,0.25,1.375,0,0,1.0125,0,30.4,0,0.0014,0.0194,0,0,0,0.0042,0,7e-4,0,0,0,0.025,0,0,0.0014,0,0,0,0,0,0.35666666666666663
SC,Santa Cruz Island,SA,Scorpion Anchorage,2017,Inside,TRUE,0.2917,0.0417,0.125,0.0417,0.0625,0.5833,0,0.2083,3.6667,0.4583,0,0,0.9583,3.0833,0,0,0.68,0,20.9575,0,0.0125,0.0187,0,0,0,0.0049,7e-4,0,0,0,0,0.0396,0,0,0,0,0,0,0,0,-0.17666666666666667
SC,Santa Cruz Island,SA,Scorpion Anchorage,2018,Inside,TRUE,0.4167,0.0833,0.0833,0.0417,0.0208,0.9583,0,0.25,3.5833,0.2917,0,0.0208,0.75,3.2083,0,0,3.19,0,6.375,0,0,0.0347,0,0,0,0.0014,0,0,0,0,0,0.0417,0,0,0,0,0,0,0,0,0.039999999999999994
SC,Santa Cruz Island,SA,Scorpion Anchorage,2019,Inside,TRUE,0.4583,0.0417,0,0.1667,0,1.0208,0,0,3.4167,0.5,0,0,0.7083,2.0833,0,0,0.42,0.0014,2.965,0,0,0.0361,7e-4,7e-4,0,0.0139,7e-4,0,0,0,0,0.0257,0,0,0,0,0,0,0,0,0.75
AN,Anacapa Island,AR,Admiral's Reef,2005,Outside,TRUE,0.4583,0.625,3.25,0.0417,0.1667,0,0,0,0,0.4583,2,0,6.125,5.5,0,0,0.225,0.035,0,0,0.0035,0.0076,0,0,0,0.0021,0.0382,0,0.0063,0.016,0.0014,0.0028,0,0,0.0035,0,0,0,0,0,0.04166666666666667
AN,Anacapa Island,AR,Admiral's Reef,2006,Outside,TRUE,0.125,0.4583,1.4167,0,0,0,0,0,0,0.4167,1.3333,0,10.4583,6.2083,0,0.0417,0,0.05,0,0,0.0014,0.016,0,0,0,0.0292,0.0347,0,0.0347,0.0104,0.0042,7e-4,0,0,0.0076,0,0,0,0,0,0.11416666666666668
AN,Anacapa Island,AR,Admiral's Reef,2007,Outside,TRUE,0.25,0.5,2.7917,0.0417,0,0,0,0,0,0.5417,2,0,9.2083,7.4583,0,0.0417,0.0025,0.02,0,0,0.0049,0.0326,0,0,0,0.0278,0.034,0,0.0312,0.009,0.0014,0,0,0,0.0424,0,0,0,0,0,-0.5908333333333333
AN,Anacapa Island,AR,Admiral's Reef,2008,Outside,TRUE,0.125,0.75,1.75,0.0417,0,0,0,0,0,0.2917,1.9583,0,8.5417,5.7083,0,0,0,0.045,0,0,0.0063,0.0104,0,0,0,0.0014,0.0229,0.0097,0.0424,0.0118,0.0014,7e-4,0,0,0.0299,0,0,0,0,0,-0.7583333333333333
AN,Anacapa Island,AR,Admiral's Reef,2009,Outside,TRUE,0.0833,0.9167,2.875,0.0833,0,0,0,0,0,0.2917,2.3333,0,8.6667,4.5417,0,0.0417,0,0.095,0,0,0.0139,0.0125,0,0,0,0.0236,0.0319,0.0215,0.0479,0.0125,0.0035,0.0021,0,0,0.0465,0,0,0,0,0,0.3125
AN,Anacapa Island,AR,Admiral's Reef,2010,Outside,TRUE,0.0417,0.75,1.125,0,0,0.0208,0,0,0.0417,0.7083,2.25,0,7.75,5.5,0,0,0,0.055,0,0,0.0097,0.009,0,0,0,0.0174,0.0326,0.0014,0.0542,0.0222,0.0035,0.0021,0,0,0.0319,0,0,0,0,0,-0.4616666666666666
AN,Anacapa Island,AR,Admiral's Reef,2011,Outside,TRUE,0,0.5417,0.3333,0.0833,0,0,0,0,0,0.5,1.7917,0,7.6667,7.5,0,0,0,0.09,0,0,0.0042,0.0069,0,0,0,7e-4,0.0299,0.0021,0.2215,0.0181,0.0028,0,0,0,0.0299,0,0,0,0,0,-0.8391666666666666
AN,Anacapa Island,AR,Admiral's Reef,2012,Outside,TRUE,0,0.9167,2.375,0.25,0,0,0,0,0,0.2917,1.7917,0,7,5.125,0,0.125,0,0.07,0,0,0,0.0097,0,0,0,0.016,0.0049,0,0.2528,0.0118,0.0021,0,0,0,0.0292,0.0069,0,0,0,0,-0.11416666666666667
AN,Anacapa Island,AR,Admiral's Reef,2013,Outside,TRUE,0,0.4583,2.7917,0.0417,0,0,0,0,0,0.375,1.3333,0,5.6667,0.375,0,0,0,0.04,0.0025,0,0.0035,0.0111,0,0,0,0.0097,0.0181,0,0.1486,0.009,0.0014,0,0,0,0.0243,0,0,0,0,0,-0.29333333333333333
AN,Anacapa Island,AR,Admiral's Reef,2014,Outside,TRUE,0,0.2917,1.9583,0,0.125,0,0,0,0,0.2917,1.2083,0,3.25,0.9167,0,0.125,0,0.0042,6.035,0,0.0042,0.0132,0,0,0,0.0021,0.0181,7e-4,0.0326,0.0076,7e-4,0.0021,0,0,0.0403,0.0021,0,0,0,0,0.13999999999999999
AN,Anacapa Island,AR,Admiral's Reef,2015,Outside,TRUE,0,0.6667,0.9167,0,0.25,0,0,0,0,0.5833,0.5,0.0208,1.25,0.125,0,0.0417,0.2575,7e-4,10.1625,0,0,0.0278,7e-4,0,0,0.0042,0.0097,0,0.0021,0.0083,0.0014,0.0014,0,0,0.0319,0,0,0,0,0,1.485
AN,Anacapa Island,AR,Admiral's Reef,2016,Outside,TRUE,0,1.375,0.0833,0,0,0,0,0,0.0833,0.375,0.0833,0,1.375,0.0833,0,0,0.28,0,6.08,0,0.0083,0.0215,0,0,0,0.016,0.0056,0.0049,0.0035,0.0076,0.0021,0.0056,0,0,0.0306,0,0,0,0,0,0.35666666666666663
AN,Anacapa Island,AR,Admiral's Reef,2017,Outside,TRUE,0,1.2083,0.5417,0.0417,0.0417,0,0,0.0417,0.25,0.125,0.125,0,2.6667,1.8333,0,0,1.6875,0,8.1025,0,0.0056,0.0708,0,0,0,0.0542,0.0028,0.0562,0.0472,0.0083,0.0035,0.0181,0,0,0.0208,0,0,0,0,0,-0.17666666666666667
AN,Anacapa Island,AR,Admiral's Reef,2018,Outside,TRUE,0.9167,0.9167,0.3333,0,0.125,0.0208,0,0.0833,0.5,0.125,0.2083,0,3,16.5417,0,0,0.095,0,4.03,0,0.0049,0.0924,0,0,0,0.0514,0.0104,0.0125,0.0465,0.0083,0.0035,0.016,0,0,0.0035,0,0,0,0,0,0.039999999999999994
AN,Anacapa Island,AR,Admiral's Reef,2019,Outside,TRUE,0.5833,2.2083,0,0,0,0,0,0,0.5417,0.0417,0.1667,0,2.125,13.375,0,0,0.755,0,7.9475,0,0,0.0799,0,0,0,0.0708,0.0063,7e-4,0.0132,0.0146,0.0014,0.0076,0,0,0.0014,0,0,0,0,0,0.75
AN,Anacapa Island,CC,Cathedral Cove,2005,Inside,TRUE,0.25,0,0.2083,0.0417,0.0625,4.1458,0,0,2.25,1.7917,0.0833,0,3.2083,0.4583,0,0,0.575,0,0,0,0.0035,0.009,7e-4,0,0,0,0,0,0.016,0,0,0.0035,0,0,7e-4,0,0,0,0,0,0.04166666666666667
AN,Anacapa Island,CC,Cathedral Cove,2006,Inside,TRUE,0.375,0.0417,0.2083,0.0417,0.1875,6.8542,0,0,2.9167,1.5833,0,0,6.25,1.375,0,0,0.4175,0,0,0,0,0.0132,0,0,0,0.0014,0,0,0.016,0,0,0.009,0,0,7e-4,0,0,0,0,0,0.11416666666666668
AN,Anacapa Island,CC,Cathedral Cove,2007,Inside,TRUE,0.5833,0,0.25,0.0833,0.0208,12.5625,0,0,2.5833,0.7917,0,0,3.7083,1.2917,0,0,0.1975,0,0,0,0,0.0271,0,0,0,0.009,0,0,0.0139,0,0,0.0153,0,0,7e-4,0,0,0,0,0,-0.5908333333333333
AN,Anacapa Island,CC,Cathedral Cove,2008,Inside,TRUE,0.5417,0.0417,0.25,0.0417,0.125,14.5417,0,0,1.5,0.8333,0,0,4.25,1.7083,0,0,0.3975,0,0,0,0,0.0153,0,0,0,0,0,0,0.0167,0,0,0.0208,0,0,0.0014,0,0,0,0,0,-0.7583333333333333
AN,Anacapa Island,CC,Cathedral Cove,2009,Inside,TRUE,0.4583,0,1.0833,0.0417,0.2083,15.9167,0,0,0.6667,1.25,0,0.0625,2.75,1.1667,0,0,0.31,0,0,0,0,0.0153,7e-4,0,0,0,0,0,0.0014,0,0,0.0076,7e-4,0,0.0021,0,0,0,0,0,0.3125
AN,Anacapa Island,CC,Cathedral Cove,2010,Inside,TRUE,0.1667,0,0.1667,0.0833,0.1875,14.9583,0,0,0.1667,1.5,0,0.0417,4.1667,1.8333,0,0,0.3725,0.01,0,0,0,0.0069,0.0014,0,0,0.0035,0,0,0,0,0,0.0125,0,0,0.0042,0,0,0,0,0,-0.4616666666666666
AN,Anacapa Island,CC,Cathedral Cove,2011,Inside,TRUE,0,0,0.125,0.0417,0.1667,21.0625,0,0,0.1667,1.1667,0,0.0208,4.375,2.5833,0,0,0.625,0.005,0,0,0,0.0049,7e-4,0,0,0,0,0,0,0,0,0.0292,0,0,0.0021,0,0,0,0,0,-0.8391666666666666
AN,Anacapa Island,CC,Cathedral Cove,2012,Inside,TRUE,0,0,0.875,0.0833,0.1875,27.1042,0,0,0.375,1.5,0,0,4.2917,1.6667,0,0,0.3025,0.01,0,0,0,0.0167,0.0014,0,0,0,7e-4,0,0.0063,0,0,0.009,0,0,0.0028,0,0,0,0,0,-0.11416666666666667
