SurveyYear,Month,Date,DateStart,DateEnd,PDO_ANOM,Mean_PDO_ANOM,ONI_ANOM,Mean_ONI_ANOM
2000,10,2000-10-01,2000-10-01,2000-11-01,-0.77,-0.9933333333333334,-0.65,-0.845
2000,11,2000-11-01,2000-11-01,2000-12-01,-1.27,-0.9933333333333334,-0.71,-0.845
2000,12,2000-12-01,2000-12-01,2001-01-01,-0.93,-0.9933333333333334,-0.88,-0.845
2001,1,2001-01-01,2001-01-01,2001-02-01,-0.57,-0.7208333333333333,-0.63,-0.31083333333333335
2001,2,2001-02-01,2001-02-01,2001-03-01,-0.81,-0.7208333333333333,-0.53,-0.31083333333333335
2001,3,2001-03-01,2001-03-01,2001-04-01,-0.67,-0.7208333333333333,-0.39,-0.31083333333333335
2001,4,2001-04-01,2001-04-01,2001-05-01,-0.75,-0.7208333333333333,-0.39,-0.31083333333333335
2001,5,2001-05-01,2001-05-01,2001-06-01,-0.86,-0.7208333333333333,-0.24,-0.31083333333333335
2001,6,2001-06-01,2001-06-01,2001-07-01,-0.84,-0.7208333333333333,-0.11,-0.31083333333333335
2001,7,2001-07-01,2001-07-01,2001-08-01,-0.81,-0.7208333333333333,-0.01,-0.31083333333333335
2001,8,2001-08-01,2001-08-01,2001-09-01,-0.5,-0.7208333333333333,-0.1,-0.31083333333333335
2001,9,2001-09-01,2001-09-01,2001-10-01,-0.6,-0.7208333333333333,-0.28,-0.31083333333333335
2001,10,2001-10-01,2001-10-01,2001-11-01,-0.64,-0.7208333333333333,-0.18,-0.31083333333333335
2001,11,2001-11-01,2001-11-01,2001-12-01,-0.64,-0.7208333333333333,-0.41,-0.31083333333333335
2001,12,2001-12-01,2001-12-01,2002-01-01,-0.96,-0.7208333333333333,-0.46,-0.31083333333333335
2002,1,2002-01-01,2002-01-01,2002-02-01,-0.8,-0.8566666666666667,-0.05,0.66
2002,2,2002-02-01,2002-02-01,2002-03-01,-1.03,-0.8566666666666667,0.06,0.66
2002,3,2002-03-01,2002-03-01,2002-04-01,-1.08,-0.8566666666666667,0.09,0.66
2002,4,2002-04-01,2002-04-01,2002-05-01,-1.03,-0.8566666666666667,0.12,0.66
2002,5,2002-05-01,2002-05-01,2002-06-01,-1.15,-0.8566666666666667,0.4,0.66
2002,6,2002-06-01,2002-06-01,2002-07-01,-0.98,-0.8566666666666667,0.79,0.66
2002,7,2002-07-01,2002-07-01,2002-08-01,-1.08,-0.8566666666666667,0.77,0.66
2002,8,2002-08-01,2002-08-01,2002-09-01,-0.94,-0.8566666666666667,0.81,0.66
2002,9,2002-09-01,2002-09-01,2002-10-01,-0.75,-0.8566666666666667,1.01,0.66
2002,10,2002-10-01,2002-10-01,2002-11-01,-0.73,-0.8566666666666667,1.2,0.66
2002,11,2002-11-01,2002-11-01,2002-12-01,-0.45,-0.8566666666666667,1.41,0.66
2002,12,2002-12-01,2002-12-01,2003-01-01,-0.26,-0.8566666666666667,1.31,0.66
2003,1,2003-01-01,2003-01-01,2003-02-01,-0.01,0.12416666666666668,0.7,0.23249999999999998
2003,2,2003-02-01,2003-02-01,2003-03-01,0.18,0.12416666666666668,0.74,0.23249999999999998
2003,3,2003-03-01,2003-03-01,2003-04-01,0.36,0.12416666666666668,0.45,0.23249999999999998
2003,4,2003-04-01,2003-04-01,2003-05-01,0.4,0.12416666666666668,-0.05,0.23249999999999998
2003,5,2003-05-01,2003-05-01,2003-06-01,0.28,0.12416666666666668,-0.52,0.23249999999999998
2003,6,2003-06-01,2003-06-01,2003-07-01,0.22,0.12416666666666668,-0.21,0.23249999999999998
2003,7,2003-07-01,2003-07-01,2003-08-01,0.17,0.12416666666666668,0.24,0.23249999999999998
2003,8,2003-08-01,2003-08-01,2003-09-01,-0.06,0.12416666666666668,0.2,0.23249999999999998
2003,9,2003-09-01,2003-09-01,2003-10-01,-0.19,0.12416666666666668,0.19,0.23249999999999998
2003,10,2003-10-01,2003-10-01,2003-11-01,0.18,0.12416666666666668,0.38,0.23249999999999998
2003,11,2003-11-01,2003-11-01,2003-12-01,0.03,0.12416666666666668,0.29,0.23249999999999998
2003,12,2003-12-01,2003-12-01,2004-01-01,-0.07,0.12416666666666668,0.38,0.23249999999999998
2004,1,2004-01-01,2004-01-01,2004-02-01,0.13,-0.033333333333333326,0.38,0.445
2004,2,2004-02-01,2004-02-01,2004-03-01,0.14,-0.033333333333333326,0.34,0.445
2004,3,2004-03-01,2004-03-01,2004-04-01,0.02,-0.033333333333333326,0.21,0.445
2004,4,2004-04-01,2004-04-01,2004-05-01,-0.12,-0.033333333333333326,0.16,0.445
2004,5,2004-05-01,2004-05-01,2004-06-01,0.23,-0.033333333333333326,0.14,0.445
2004,6,2004-06-01,2004-06-01,2004-07-01,0.21,-0.033333333333333326,0.2,0.445
2004,7,2004-07-01,2004-07-01,2004-08-01,-0.03,-0.033333333333333326,0.51,0.445
2004,8,2004-08-01,2004-08-01,2004-09-01,0.06,-0.033333333333333326,0.7,0.445
2004,9,2004-09-01,2004-09-01,2004-10-01,0.01,-0.033333333333333326,0.72,0.445
2004,10,2004-10-01,2004-10-01,2004-11-01,-0.29,-0.033333333333333326,0.68,0.445
2004,11,2004-11-01,2004-11-01,2004-12-01,-0.47,-0.033333333333333326,0.61,0.445
2004,12,2004-12-01,2004-12-01,2005-01-01,-0.29,-0.033333333333333326,0.69,0.445
2005,1,2005-01-01,2005-01-01,2005-02-01,-0.26,0.018333333333333333,0.76,0.04166666666666667
2005,2,2005-02-01,2005-02-01,2005-03-01,-0.01,0.018333333333333333,0.46,0.04166666666666667
2005,3,2005-03-01,2005-03-01,2005-04-01,0,0.018333333333333333,0.53,0.04166666666666667
2005,4,2005-04-01,2005-04-01,2005-05-01,0.05,0.018333333333333333,0.35,0.04166666666666667
2005,5,2005-05-01,2005-05-01,2005-06-01,0.18,0.018333333333333333,0.39,0.04166666666666667
2005,6,2005-06-01,2005-06-01,2005-07-01,0.14,0.018333333333333333,0.12,0.04166666666666667
2005,7,2005-07-01,2005-07-01,2005-08-01,0.29,0.018333333333333333,-0.19,0.04166666666666667
2005,8,2005-08-01,2005-08-01,2005-09-01,0.23,0.018333333333333333,-0.1,0.04166666666666667
2005,9,2005-09-01,2005-09-01,2005-10-01,-0.04,0.018333333333333333,-0.11,0.04166666666666667
2005,10,2005-10-01,2005-10-01,2005-11-01,-0.25,0.018333333333333333,-0.1,0.04166666666666667
2005,11,2005-11-01,2005-11-01,2005-12-01,-0.19,0.018333333333333333,-0.64,0.04166666666666667
2005,12,2005-12-01,2005-12-01,2006-01-01,0.08,0.018333333333333333,-0.97,0.04166666666666667
2006,1,2006-01-01,2006-01-01,2006-02-01,-0.01,-0.5166666666666666,-0.81,0.11416666666666668
2006,2,2006-02-01,2006-02-01,2006-03-01,-0.19,-0.5166666666666666,-0.57,0.11416666666666668
2006,3,2006-03-01,2006-03-01,2006-04-01,-0.56,-0.5166666666666666,-0.62,0.11416666666666668
2006,4,2006-04-01,2006-04-01,2006-05-01,-0.44,-0.5166666666666666,-0.22,0.11416666666666668
2006,5,2006-05-01,2006-05-01,2006-06-01,-0.57,-0.5166666666666666,0,0.11416666666666668
2006,6,2006-06-01,2006-06-01,2006-07-01,-0.57,-0.5166666666666666,0.08,0.11416666666666668
2006,7,2006-07-01,2006-07-01,2006-08-01,-0.52,-0.5166666666666666,0.04,0.11416666666666668
2006,8,2006-08-01,2006-08-01,2006-09-01,-0.74,-0.5166666666666666,0.25,0.11416666666666668
2006,9,2006-09-01,2006-09-01,2006-10-01,-0.82,-0.5166666666666666,0.52,0.11416666666666668
2006,10,2006-10-01,2006-10-01,2006-11-01,-0.59,-0.5166666666666666,0.66,0.11416666666666668
2006,11,2006-11-01,2006-11-01,2006-12-01,-0.61,-0.5166666666666666,0.95,0.11416666666666668
2006,12,2006-12-01,2006-12-01,2007-01-01,-0.58,-0.5166666666666666,1.09,0.11416666666666668
2007,1,2007-01-01,2007-01-01,2007-02-01,-1.01,-0.9416666666666667,0.8,-0.5908333333333333
2007,2,2007-02-01,2007-02-01,2007-03-01,-1.09,-0.9416666666666667,0.23,-0.5908333333333333
2007,3,2007-03-01,2007-03-01,2007-04-01,-1.19,-0.9416666666666667,-0.09,-0.5908333333333333
2007,4,2007-04-01,2007-04-01,2007-05-01,-0.93,-0.9416666666666667,-0.22,-0.5908333333333333
2007,5,2007-05-01,2007-05-01,2007-06-01,-0.86,-0.9416666666666667,-0.38,-0.5908333333333333
2007,6,2007-06-01,2007-06-01,2007-07-01,-0.68,-0.9416666666666667,-0.28,-0.5908333333333333
2007,7,2007-07-01,2007-07-01,2007-08-01,-0.63,-0.9416666666666667,-0.55,-0.5908333333333333
2007,8,2007-08-01,2007-08-01,2007-09-01,-0.79,-0.9416666666666667,-0.77,-0.5908333333333333
2007,9,2007-09-01,2007-09-01,2007-10-01,-0.8,-0.9416666666666667,-1.19,-0.5908333333333333
2007,10,2007-10-01,2007-10-01,2007-11-01,-1.11,-0.9416666666666667,-1.43,-0.5908333333333333
2007,11,2007-11-01,2007-11-01,2007-12-01,-1.17,-0.9416666666666667,-1.58,-0.5908333333333333
2007,12,2007-12-01,2007-12-01,2008-01-01,-1.04,-0.9416666666666667,-1.63,-0.5908333333333333
2008,1,2008-01-01,2008-01-01,2008-02-01,-1.36,-1.5,-1.58,-0.7583333333333333
2008,2,2008-02-01,2008-02-01,2008-03-01,-1.59,-1.5,-1.56,-0.7583333333333333
2008,3,2008-03-01,2008-03-01,2008-04-01,-1.31,-1.5,-1.12,-0.7583333333333333
2008,4,2008-04-01,2008-04-01,2008-05-01,-1.43,-1.5,-0.9,-0.7583333333333333
2008,5,2008-05-01,2008-05-01,2008-06-01,-1.39,-1.5,-0.75,-0.7583333333333333
2008,6,2008-06-01,2008-06-01,2008-07-01,-1.5,-1.5,-0.61,-0.7583333333333333
2008,7,2008-07-01,2008-07-01,2008-08-01,-1.66,-1.5,-0.27,-0.7583333333333333
2008,8,2008-08-01,2008-08-01,2008-09-01,-1.57,-1.5,-0.18,-0.7583333333333333
2008,9,2008-09-01,2008-09-01,2008-10-01,-1.64,-1.5,-0.33,-0.7583333333333333
2008,10,2008-10-01,2008-10-01,2008-11-01,-1.52,-1.5,-0.39,-0.7583333333333333
2008,11,2008-11-01,2008-11-01,2008-12-01,-1.55,-1.5,-0.5,-0.7583333333333333
2008,12,2008-12-01,2008-12-01,2009-01-01,-1.48,-1.5,-0.91,-0.7583333333333333
2009,1,2009-01-01,2009-01-01,2009-02-01,-1.72,-1.935,-0.79,0.3125
2009,2,2009-02-01,2009-02-01,2009-03-01,-2.09,-1.935,-0.69,0.3125
2009,3,2009-03-01,2009-03-01,2009-04-01,-2.5,-1.935,-0.61,0.3125
2009,4,2009-04-01,2009-04-01,2009-05-01,-2.4,-1.935,-0.26,0.3125
2009,5,2009-05-01,2009-05-01,2009-06-01,-2.22,-1.935,0.15,0.3125
2009,6,2009-06-01,2009-06-01,2009-07-01,-1.95,-1.935,0.39,0.3125
2009,7,2009-07-01,2009-07-01,2009-08-01,-1.9,-1.935,0.52,0.3125
2009,8,2009-08-01,2009-08-01,2009-09-01,-2.15,-1.935,0.51,0.3125
2009,9,2009-09-01,2009-09-01,2009-10-01,-1.79,-1.935,0.6,0.3125
2009,10,2009-10-01,2009-10-01,2009-11-01,-1.49,-1.935,0.85,0.3125
2009,11,2009-11-01,2009-11-01,2009-12-01,-1.64,-1.935,1.4,0.3125
2009,12,2009-12-01,2009-12-01,2010-01-01,-1.37,-1.935,1.68,0.3125
2010,1,2010-01-01,2010-01-01,2010-02-01,-1.05,-1.2475,1.61,-0.4616666666666666
2010,2,2010-02-01,2010-02-01,2010-03-01,-0.89,-1.2475,1.35,-0.4616666666666666
2010,3,2010-03-01,2010-03-01,2010-04-01,-1.25,-1.2475,0.98,-0.4616666666666666
2010,4,2010-04-01,2010-04-01,2010-05-01,-1.22,-1.2475,0.48,-0.4616666666666666
2010,5,2010-05-01,2010-05-01,2010-06-01,-1.02,-1.2475,-0.13,-0.4616666666666666
2010,6,2010-06-01,2010-06-01,2010-07-01,-1.1,-1.2475,-0.61,-0.4616666666666666
2010,7,2010-07-01,2010-07-01,2010-08-01,-1.15,-1.2475,-1.04,-0.4616666666666666
2010,8,2010-08-01,2010-08-01,2010-09-01,-1.43,-1.2475,-1.44,-0.4616666666666666
2010,9,2010-09-01,2010-09-01,2010-10-01,-1.55,-1.2475,-1.67,-0.4616666666666666
2010,10,2010-10-01,2010-10-01,2010-11-01,-1.44,-1.2475,-1.73,-0.4616666666666666
2010,11,2010-11-01,2010-11-01,2010-12-01,-1.38,-1.2475,-1.69,-0.4616666666666666
2010,12,2010-12-01,2010-12-01,2011-01-01,-1.49,-1.2475,-1.65,-0.4616666666666666
2011,1,2011-01-01,2011-01-01,2011-02-01,-1.38,-1.4558333333333333,-1.44,-0.8391666666666666
2011,2,2011-02-01,2011-02-01,2011-03-01,-1.24,-1.4558333333333333,-1,-0.8391666666666666
2011,3,2011-03-01,2011-03-01,2011-04-01,-1.36,-1.4558333333333333,-0.83,-0.8391666666666666
2011,4,2011-04-01,2011-04-01,2011-05-01,-1.13,-1.4558333333333333,-0.67,-0.8391666666666666
2011,5,2011-05-01,2011-05-01,2011-06-01,-1.24,-1.4558333333333333,-0.43,-0.8391666666666666
2011,6,2011-06-01,2011-06-01,2011-07-01,-1.21,-1.4558333333333333,-0.3,-0.8391666666666666
2011,7,2011-07-01,2011-07-01,2011-08-01,-1.42,-1.4558333333333333,-0.39,-0.8391666666666666
2011,8,2011-08-01,2011-08-01,2011-09-01,-1.49,-1.4558333333333333,-0.7,-0.8391666666666666
2011,9,2011-09-01,2011-09-01,2011-10-01,-1.69,-1.4558333333333333,-0.88,-0.8391666666666666
2011,10,2011-10-01,2011-10-01,2011-11-01,-1.67,-1.4558333333333333,-1.09,-0.8391666666666666
2011,11,2011-11-01,2011-11-01,2011-12-01,-1.78,-1.4558333333333333,-1.23,-0.8391666666666666
2011,12,2011-12-01,2011-12-01,2012-01-01,-1.86,-1.4558333333333333,-1.11,-0.8391666666666666
2012,1,2012-01-01,2012-01-01,2012-02-01,-1.97,-1.8833333333333333,-0.77,-0.11416666666666667
2012,2,2012-02-01,2012-02-01,2012-03-01,-1.84,-1.8833333333333333,-0.57,-0.11416666666666667
2012,3,2012-03-01,2012-03-01,2012-04-01,-2.14,-1.8833333333333333,-0.52,-0.11416666666666667
2012,4,2012-04-01,2012-04-01,2012-05-01,-2.13,-1.8833333333333333,-0.4,-0.11416666666666667
2012,5,2012-05-01,2012-05-01,2012-06-01,-1.96,-1.8833333333333333,-0.23,-0.11416666666666667
2012,6,2012-06-01,2012-06-01,2012-07-01,-1.87,-1.8833333333333333,0.1,-0.11416666666666667
2012,7,2012-07-01,2012-07-01,2012-08-01,-1.92,-1.8833333333333333,0.28,-0.11416666666666667
2012,8,2012-08-01,2012-08-01,2012-09-01,-2,-1.8833333333333333,0.41,-0.11416666666666667
2012,9,2012-09-01,2012-09-01,2012-10-01,-1.98,-1.8833333333333333,0.3,-0.11416666666666667
2012,10,2012-10-01,2012-10-01,2012-11-01,-1.84,-1.8833333333333333,0.22,-0.11416666666666667
2012,11,2012-11-01,2012-11-01,2012-12-01,-1.58,-1.8833333333333333,0.11,-0.11416666666666667
2012,12,2012-12-01,2012-12-01,2013-01-01,-1.37,-1.8833333333333333,-0.3,-0.11416666666666667
2013,1,2013-01-01,2013-01-01,2013-02-01,-1.48,-1.53,-0.43,-0.29333333333333333
2013,2,2013-02-01,2013-02-01,2013-03-01,-1.58,-1.53,-0.41,-0.29333333333333333
2013,3,2013-03-01,2013-03-01,2013-04-01,-1.84,-1.53,-0.16,-0.29333333333333333
2013,4,2013-04-01,2013-04-01,2013-05-01,-1.71,-1.53,-0.15,-0.29333333333333333
2013,5,2013-05-01,2013-05-01,2013-06-01,-1.52,-1.53,-0.31,-0.29333333333333333
2013,6,2013-06-01,2013-06-01,2013-07-01,-1.5,-1.53,-0.35,-0.29333333333333333
2013,7,2013-07-01,2013-07-01,2013-08-01,-1.85,-1.53,-0.36,-0.29333333333333333
2013,8,2013-08-01,2013-08-01,2013-09-01,-1.61,-1.53,-0.44,-0.29333333333333333
2013,9,2013-09-01,2013-09-01,2013-10-01,-1.23,-1.53,-0.26,-0.29333333333333333
2013,10,2013-10-01,2013-10-01,2013-11-01,-1.41,-1.53,-0.24,-0.29333333333333333
2013,11,2013-11-01,2013-11-01,2013-12-01,-1.37,-1.53,-0.19,-0.29333333333333333
2013,12,2013-12-01,2013-12-01,2014-01-01,-1.26,-1.53,-0.22,-0.29333333333333333
2014,1,2014-01-01,2014-01-01,2014-02-01,-0.84,-0.25083333333333335,-0.39,0.13999999999999999
2014,2,2014-02-01,2014-02-01,2014-03-01,-0.76,-0.25083333333333335,-0.51,0.13999999999999999
2014,3,2014-03-01,2014-03-01,2014-04-01,-0.62,-0.25083333333333335,-0.19,0.13999999999999999
2014,4,2014-04-01,2014-04-01,2014-05-01,-0.54,-0.25083333333333335,0.18,0.13999999999999999
2014,5,2014-05-01,2014-05-01,2014-06-01,-0.38,-0.25083333333333335,0.41,0.13999999999999999
2014,6,2014-06-01,2014-06-01,2014-07-01,-0.45,-0.25083333333333335,0.31,0.13999999999999999
2014,7,2014-07-01,2014-07-01,2014-08-01,-0.44,-0.25083333333333335,-0.03,0.13999999999999999
2014,8,2014-08-01,2014-08-01,2014-09-01,-0.19,-0.25083333333333335,-0.08,0.13999999999999999
2014,9,2014-09-01,2014-09-01,2014-10-01,0.19,-0.25083333333333335,0.21,0.13999999999999999
2014,10,2014-10-01,2014-10-01,2014-11-01,0.4,-0.25083333333333335,0.4,0.13999999999999999
2014,11,2014-11-01,2014-11-01,2014-12-01,0.33,-0.25083333333333335,0.71,0.13999999999999999
2014,12,2014-12-01,2014-12-01,2015-01-01,0.29,-0.25083333333333335,0.66,0.13999999999999999
2015,1,2015-01-01,2015-01-01,2015-02-01,0.18,0.2891666666666667,0.61,1.485
2015,2,2015-02-01,2015-02-01,2015-03-01,0.49,0.2891666666666667,0.52,1.485
2015,3,2015-03-01,2015-03-01,2015-04-01,0.44,0.2891666666666667,0.56,1.485
2015,4,2015-04-01,2015-04-01,2015-05-01,0.48,0.2891666666666667,0.79,1.485
2015,5,2015-05-01,2015-05-01,2015-06-01,0.32,0.2891666666666667,1.01,1.485
2015,6,2015-06-01,2015-06-01,2015-07-01,0.18,0.2891666666666667,1.25,1.485
2015,7,2015-07-01,2015-07-01,2015-08-01,-0.02,0.2891666666666667,1.49,1.485
2015,8,2015-08-01,2015-08-01,2015-09-01,0.17,0.2891666666666667,1.88,1.485
2015,9,2015-09-01,2015-09-01,2015-10-01,0.42,0.2891666666666667,2.12,1.485
2015,10,2015-10-01,2015-10-01,2015-11-01,0.51,0.2891666666666667,2.32,1.485
2015,11,2015-11-01,2015-11-01,2015-12-01,0.18,0.2891666666666667,2.67,1.485
2015,12,2015-12-01,2015-12-01,2016-01-01,0.12,0.2891666666666667,2.6,1.485
2016,1,2016-01-01,2016-01-01,2016-02-01,-0.11,0.12333333333333334,2.66,0.35666666666666663
2016,2,2016-02-01,2016-02-01,2016-03-01,0.08,0.12333333333333334,2.34,0.35666666666666663
2016,3,2016-03-01,2016-03-01,2016-04-01,0.31,0.12333333333333334,1.7,0.35666666666666663
2016,4,2016-04-01,2016-04-01,2016-05-01,0.31,0.12333333333333334,0.99,0.35666666666666663
2016,5,2016-05-01,2016-05-01,2016-06-01,0.26,0.12333333333333334,0.39,0.35666666666666663
2016,6,2016-06-01,2016-06-01,2016-07-01,0.29,0.12333333333333334,0.05,0.35666666666666663
2016,7,2016-07-01,2016-07-01,2016-08-01,0.03,0.12333333333333334,-0.44,0.35666666666666663
2016,8,2016-08-01,2016-08-01,2016-09-01,0.05,0.12333333333333334,-0.63,0.35666666666666663
2016,9,2016-09-01,2016-09-01,2016-10-01,0.11,0.12333333333333334,-0.65,0.35666666666666663
2016,10,2016-10-01,2016-10-01,2016-11-01,0.09,0.12333333333333334,-0.78,0.35666666666666663
2016,11,2016-11-01,2016-11-01,2016-12-01,0.15,0.12333333333333334,-0.8,0.35666666666666663
2016,12,2016-12-01,2016-12-01,2017-01-01,-0.09,0.12333333333333334,-0.55,0.35666666666666663
2017,1,2017-01-01,2017-01-01,2017-02-01,-0.3,-0.23166666666666666,-0.33,-0.17666666666666667
2017,2,2017-02-01,2017-02-01,2017-03-01,-0.16,-0.23166666666666666,0.02,-0.17666666666666667
2017,3,2017-03-01,2017-03-01,2017-04-01,-0.27,-0.23166666666666666,0.12,-0.17666666666666667
2017,4,2017-04-01,2017-04-01,2017-05-01,-0.02,-0.23166666666666666,0.3,-0.17666666666666667
2017,5,2017-05-01,2017-05-01,2017-06-01,-0.06,-0.23166666666666666,0.45,-0.17666666666666667
2017,6,2017-06-01,2017-06-01,2017-07-01,-0.25,-0.23166666666666666,0.41,-0.17666666666666667
2017,7,2017-07-01,2017-07-01,2017-08-01,-0.3,-0.23166666666666666,0.28,-0.17666666666666667
2017,8,2017-08-01,2017-08-01,2017-09-01,-0.19,-0.23166666666666666,-0.21,-0.17666666666666667
2017,9,2017-09-01,2017-09-01,2017-10-01,-0.34,-0.23166666666666666,-0.51,-0.17666666666666667
2017,10,2017-10-01,2017-10-01,2017-11-01,-0.28,-0.23166666666666666,-0.6,-0.17666666666666667
2017,11,2017-11-01,2017-11-01,2017-12-01,-0.29,-0.23166666666666666,-1.01,-0.17666666666666667
2017,12,2017-12-01,2017-12-01,2018-01-01,-0.32,-0.23166666666666666,-1.04,-0.17666666666666667
2018,1,2018-01-01,2018-01-01,2018-02-01,-0.4,-0.8691666666666666,-0.88,0.039999999999999994
2018,2,2018-02-01,2018-02-01,2018-03-01,-0.51,-0.8691666666666666,-0.68,0.039999999999999994
2018,3,2018-03-01,2018-03-01,2018-04-01,-0.9,-0.8691666666666666,-0.71,0.039999999999999994
2018,4,2018-04-01,2018-04-01,2018-05-01,-0.84,-0.8691666666666666,-0.41,0.039999999999999994
2018,5,2018-05-01,2018-05-01,2018-06-01,-0.92,-0.8691666666666666,-0.11,0.039999999999999994
2018,6,2018-06-01,2018-06-01,2018-07-01,-0.98,-0.8691666666666666,0.12,0.039999999999999994
2018,7,2018-07-01,2018-07-01,2018-08-01,-0.96,-0.8691666666666666,0.16,0.039999999999999994
2018,8,2018-08-01,2018-08-01,2018-09-01,-1.03,-0.8691666666666666,0.04,0.039999999999999994
2018,9,2018-09-01,2018-09-01,2018-10-01,-1.29,-0.8691666666666666,0.39,0.039999999999999994
2018,10,2018-10-01,2018-10-01,2018-11-01,-0.99,-0.8691666666666666,0.86,0.039999999999999994
2018,11,2018-11-01,2018-11-01,2018-12-01,-0.8,-0.8691666666666666,0.86,0.039999999999999994
2018,12,2018-12-01,2018-12-01,2019-01-01,-0.81,-0.8691666666666666,0.84,0.039999999999999994
2019,1,2019-01-01,2019-01-01,2019-02-01,-1.04,-1.04,0.75,0.75
